student_id,name,age,quiz_score_1,quiz_score_2,quiz_score_3,assignment_score_1,assignment_score_2,math_engagement_time,science_engagement_time,history_engagement_time,login_frequency,content_completion_rate,learning_style
1,Charles Martin,27,98,59,73,83,63,20,18,113,5,99,kinesthetic
2,Anthony Hubbard,26,53,58,70,95,70,17,73,55,8,69,auditory
3,Stanley Bradford,20,99,68,62,81,88,56,57,53,1,85,visual
4,William Church,23,72,74,77,53,51,18,51,101,3,97,visual
5,Connie Perry,27,95,90,60,98,91,98,81,53,9,81,visual
6,Katherine Martin,21,81,59,77,67,51,46,58,97,8,79,kinesthetic
7,Patricia Henderson,18,74,96,68,68,88,103,13,48,8,89,visual
8,Jessica Church,20,75,97,58,61,68,22,60,82,2,88,auditory
9,Caroline Martinez,18,88,84,92,88,78,98,56,44,3,77,auditory
10,David Lewis,21,86,84,58,77,53,21,28,62,4,91,visual
11,Jeffery Bonilla,22,85,82,56,57,75,54,24,33,7,83,auditory
12,Robert West,22,53,97,65,83,66,73,53,65,4,98,kinesthetic
13,Matthew Ramos,28,99,59,77,66,62,71,69,103,3,50,auditory
14,Terry Myers,26,66,88,68,52,93,60,82,57,6,65,visual
15,Colton Shaw,23,85,59,77,50,80,36,111,110,2,77,visual
16,John Pena,24,75,91,50,66,77,117,46,62,9,63,visual
17,Ronald Johnson,25,90,77,55,90,61,48,39,35,7,70,auditory
18,Bonnie Castaneda,21,89,99,82,61,82,116,91,97,9,80,auditory
19,Patrick Michael,26,94,94,82,76,69,75,65,31,7,72,auditory
20,Sarah Green,19,82,56,88,86,54,96,43,52,6,65,visual
21,Megan Patton,22,79,74,88,64,65,37,79,42,4,69,visual
22,Larry Costa,24,61,75,63,52,79,10,89,71,5,63,kinesthetic
23,Jason Curtis,23,74,77,87,80,57,46,46,74,3,89,kinesthetic
24,Jeffrey Oneal,29,88,75,88,87,96,90,60,77,4,89,visual
25,Tracie Mcguire,21,81,78,73,72,94,114,26,77,1,75,visual
26,Richard Miller,29,88,71,75,63,57,48,15,112,6,70,visual
27,Christina Brown,27,62,71,54,85,86,40,73,13,7,67,kinesthetic
